FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
1001,Alabama,Autauga,75.263497074,3.9102650589,5.7032041246,87.0,64.147501466,15.7,13.020997971,29.1,37.5,26.0,36.81454,70148,75.452752376,40.676813196,21.011061095,1.1780652287,3.3819173681,72.051071805,40188,18.06721513,9.3507647172,,20.908880488,17.362710567,4.8387096774,15.375695733,0.3664855301,10.0,16.9,7.2425051944
1003,Alabama,Baldwin,76.738313887,3.7309428675,5.3736661513,88.651713923,65.680418491,16.1,7.936779358,27.6,35.1,150.0,110.37393,71704,77.870531486,37.586455362,8.224886887,1.1560857833,5.0362164465,82.978473025,167022,15.833331704,25.729421883,,20.20223706,14.343431644,20.305676856,12.427866024,0.7866579913,7.6,15.0,8.2482758621
1005,Alabama,Barbour,72.377024232,5.0234883184,6.0142940199,85.440979955,40.454475189,37.7,10.433171672,40.2,43.9,10.0,28.3332,41151,64.973380657,65.919993657,47.195013357,0.4695215737,5.0999757144,45.272403465,17675,29.404446857,,,36.618539443,26.529463783,,15.075107296,1.9806599372,9.4,25.0,
1007,Alabama,Bibb,72.251369089,4.552794934,5.8245833931,88.0,38.993511632,25.5,0.4458662133,36.0,40.0,15.0,49.98864,54309,75.734478936,100.0,20.736196319,0.2908429902,3.1765507839,73.996818905,15925,24.793230812,22.385720895,,31.922979478,20.521971894,,12.258953168,0.2891817578,9.8,22.0,
1009,Alabama,Blount,73.376568119,4.2463351824,5.6648506119,97.91962775,51.975963238,15.8,2.5122060181,30.4,37.3,12.0,26.88533,60553,79.274946823,90.489396963,1.7273827127,0.4352063449,10.070237935,85.99274096,40817,30.543677459,21.173589095,,25.123231038,18.238190771,6.7741935484,10.657863711,2.1951964359,9.6,19.6,9.7330179115
1011,Alabama,Bullock,72.100111622,5.152511842,5.9731447807,82.5,32.728647014,39.0,32.339190387,43.6,46.0,2.0,19.604,35798,64.666666667,100.0,67.339737306,0.3136639875,9.351107626,21.75063713,7156,55.631275903,,,37.430167598,27.535205727,6.6666666667,9.6209912536,1.7612123694,9.3,25.7,
1013,Alabama,Butler,73.1898895,4.6273770571,6.0808851568,80.0,39.171833481,33.0,6.9182869438,36.5,40.9,5.0,85.79088,41852,70.775487309,69.434675345,44.18766756,1.5013404826,1.8284182306,50.766756032,13266,38.547416959,17.290269037,,34.834992142,24.655592197,16.0,11.503759398,0.066938138,9.1,21.1,
1015,Alabama,Calhoun,71.694077832,4.4995565219,5.6966110465,91.971264368,54.547359598,26.2,15.398072995,34.1,38.1,68.0,158.04747,52772,70.914908375,36.49401843,22.026462155,0.8826475973,4.3450098456,70.200711645,78931,21.688134596,23.320487631,,25.979876858,26.571057476,30.884955752,10.567646399,0.5042905735,9.7,20.8,8.1869764928
1017,Alabama,Chambers,72.46019745,4.5047834942,5.8122116703,86.501724138,51.833918412,30.6,8.1029884513,35.0,43.4,14.0,11.73433,45563,72.175302442,50.74485218,39.274818118,0.8771415161,3.5936399906,54.450246421,24706,27.547742357,14.901649116,,30.473135525,23.811224611,,16.126656848,0.2705527885,9.8,20.3,17.402164863
1019,Alabama,Cherokee,72.711629744,4.4630638204,6.2288247593,92.0,53.436264357,22.7,5.0086522515,32.8,38.2,11.0,55.33159,52613,79.743923177,100.0,3.9878270492,0.438700498,2.0828393012,91.036281717,18523,32.05145917,20.648891413,,29.602038816,25.507246377,23.47826087,7.4296262114,0.9490760097,9.5,22.2,
1021,Alabama,Chilton,73.487855388,4.4265003935,5.938820536,89.0,45.664173789,22.1,4.3695515107,34.1,40.8,10.0,78.45872,61823,75.01033607,85.544497268,9.7245227094,0.4729317409,8.4735419754,79.672652777,30609,25.789563608,20.134378332,,38.820842848,16.192947971,8.3673469388,12.718786464,2.1399448516,9.9,21.7,
1023,Alabama,Choctaw,73.840201715,4.7080016701,6.3228641698,92.5,50.769854133,31.2,13.044275445,37.1,43.1,5.0,8.03923,44458,81.981637337,100.0,40.774981912,0.2813731007,1.2460808747,56.499718627,9052,43.580775291,,,30.028794735,,15.454545455,9.5684803002,0.3171159142,9.3,22.3,
1025,Alabama,Clarke,70.976784154,4.6354480319,5.8319293219,92.5,40.147115757,33.0,18.350343549,38.3,40.9,9.0,93.27114999999999,44906,72.252076209,100.0,44.867865867,0.4619142794,1.5944925605,51.485676216,16015,28.187090313,,,30.034000756,22.094564737,14.347826087,12.171581769,0.0970559689,9.5,21.5,22.586062133
1027,Alabama,Clay,71.805610712,4.5029965914,6.1151816307,82.5,47.140039448,25.2,2.9746178357,35.1,38.7,4.0,14.08649,49599,78.340929809,100.0,13.558247641,0.2746865756,3.1835469784,80.349344978,10053,38.206015325,,,33.438237608,23.816966612,6.6666666667,7.8564500485,0.0445632799,7.6,21.2,
