FIPS,State_x,County,Deaths,YPLL Rate,95% CI - Low_x,95% CI - High_x,Z-Score,Sample Size_x,% Fair/Poor,95% CI - Low.1_x,95% CI - High.1_x,Z-Score.1,Sample Size.1,Physically Unhealthy Days,95% CI - Low.2_x,95% CI - High.2_x,Z-Score.2,Sample Size.2,Mentally Unhealthy Days,95% CI - Low.3_x,95% CI - High.3_x,Z-Score.3,Unreliable,LBW Births,Live Births,% LBW,95% CI - Low.4_x,95% CI - High.4_x,Z-Score.4,Sample Size.3,% Smokers,95% CI - Low.5_x,95% CI - High.5_x,Z-Score.5,% Obese,95% CI - Low.6_x,95% CI - High.6_x,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7_x,95% CI - High.7_x,Z-Score.8,% With Access,Z-Score.9,Sample Size.4,% Excessive Drinking,95% CI - Low.8_x,95% CI - High.8_x,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,Z-Score.11,Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Births,Teen Population,Teen Birth Rate,95% CI - Low.9_x,95% CI - High.9_x,Z-Score.13,# Uninsured_x,% Uninsured_x,95% CI - Low.10_x,95% CI - High.10_x,Z-Score.14,# PCP,PCP Rate,PCP Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,# Dentists.1,Dentist Rate.1,Dentist Ratio.1,Z-Score.16,# MHP,MHP Rate,MHP Ratio,# MHP.1,MHP Rate.1,MHP Ratio.1,Z-Score.17,# Medicare enrollees,ACSC Rate,95% CI - Low.11_x,95% CI - High.11_x,Z-Score.18,# Diabetics,% HbA1c,95% CI - Low.12,95% CI - High.12,Z-Score.19,# Medicare Enrollees,% Mammography,95% CI - Low.13,95% CI - High.13,Z-Score.20,Cohort size,Graduation Rate,Z-Score.21,# Some College,Population_x,% Some College,95% CI - Low.14,95% CI - High.14,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,# Children in Poverty,% Children in Poverty,95% CI - Low.15,95% CI - High.15,Z-Score.24,Sample Size.5,% No Social-Emotional Support,95% CI - Low.16,95% CI - High.16,Z-Score.25,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low.17,95% CI - High.17,Z-Score.26,Annual Violent Crimes,Violent Crime Rate,Z-Score.27,Injury Deaths,Injury Death Rate,95% CI - Low.18,95% CI - High.18,Z-Score.28,Average daily PM25,Z-Score.29,% pop in viol,Pop. In Viol,Z-Score.30,# Household with Severe Problems,% Severe Housing Problems,95% CI - Low.19,95% CI - High.19,Z-Score.31,# Drive Alone,Workers,% Drive Alone,95% CI - Low.20,95% CI - High.20,Z-Score.32,Workers who Drive Alone,Long Commute - Drives Alone,95% CI - Low.21,95% CI - High.21,Z-Score.33,State_y,Population_y,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-Hispanic white,# Not Proficient in English,% Not Proficient in English,95% CI - Low_y,95% CI - High_y,Female,Rural,% Diabetic,95% CI - Low.1_y,95% CI - High.1_y,HIV Cases,HIV Rate,Total deaths,Age-adjusted Mortality,95% CI - Low.2_y,95% CI - High.2_y,Infant mortality rate,95% CI - Low.3_y,95% CI - High.3_y,Total deaths.1,Child mortality rate,95% CI - Low.4_y,95% CI - High.4_y,% Food Insecure,# Limited Access,% Limited Access,Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low.5_y,95% CI - High.5_y,Drug Poisoning Deaths,Drug Poisoning Mortality Rate,# Uninsured_y,% Uninsured_y,95% CI - Low.6_y,95% CI - High.6_y,# Uninsured.1,% Uninsured.1,95% CI - Low.7_y,95% CI - High.7_y,Costs,95% CI - Low.8_y,95% CI - High.8_y,Sample Size_y,% Couldn't Access,95% CI - Low.9_y,95% CI - High.9_y,Other PCP Rate,Other PCP Ratio,Other PCP Rate.1,Other PCP Ratio.1,Household Income,95% CI - Low.10_y,95% CI - High.10_y,% Free Lunch,Homicide Rate,95% CI - Low.11_y,95% CI - High.11_y
6000.0,California,,303379.0,5570.12,5543.895,5596.345,,85369.0,18.4,18.0,18.8,,84923.0,3.7,3.6,3.7,,84901.0,3.6,3.6,3.7,,,256915.0,3767518.0,6.8,6.8,6.8,,83519.0,12.9,12.6,13.3,,23.182876323,,,,7.6072118927,,17.621148369,,,,90.543737154,,78753.0,17.2,16.8,17.7,,4746.0,14892.0,31.869460113,,166773.0,442.5,,337264.0,9406479.0,35.854436075,35.7,36.0,,6603169.0,20.184095761,19.945797889,20.422393634,,28429.0,75.42467,1326:1,,28699,75.44143,1326:1,28699.0,73.85799,1354:1,,,,,61047.0,157.10682,637:1,,2378472.0,49.895,49.608,50.182,,243999.0,80.60401887,80.24778074,80.96025699,,190971.0,58.98958481,58.64510796,59.33406165,,446990.0,81.343616188,,6457265.0,10543274.0,61.245349405,61.048404226,61.442294584,,1934537.0,18494886.0,10.459848198,,2164589.0,23.8,23.442553191,24.157446809,,57219.0,25.0,24.4,25.5,,2894783.0,9199432.0,31.466975352,31.175310831,31.758639874,,164512.0,440.68950993,,86939.0,47.5,47.2,47.8,,9.3,,2.2821156566,901081.5,,3498310.0,28.22845431,28.105502734,28.351405886,,11894644.0,16282943.0,73.049718346,72.961567496,73.137869197,,11894644.0,36.6,36.361702128,36.838297872,,California,38041430.0,24.289883424,12.09230305,5.8252465315,1.6764890225,13.744321751,0.4914428651,37.961069509,39.779515583,3822797.0,10.990957754,10.927169055,11.054746452,50.281245856,5.0473834242,7.8602129041,,,111666.0,363.0,303379.0,287.4,286.4,288.5,5.2,5.1,5.3,17377.0,46.653694808,46.0,47.3,17.426682945,1164227.5225,3.1180602836,26353.0,10.355075634,10.23,10.48,25663.0,10.083948924,5870340.0,24.924535468,24.686237595,25.16283334,831597.0,8.581373873,7.9856291922,9.1771185539,9091.680412,9091.550139,9091.810684,85362.0,15.7,15.3,16.1,,,39.091590000000004,2558:1,58322.0,57904.978723,58739.021277,45.885982817,6.4363123319,6.3,6.5
6001.0,California,Alameda,11630.0,5141.3,5015.86,5266.74,-0.874887134,3671.0,14.5,13.0,16.3,-0.705463509,3643.0,3.0,2.8,3.3,-1.246981221,3653.0,3.2,2.9,3.5,-0.657768531,,10297.0,143046.0,7.2,7.1,7.3,1.2059735033,3596.0,10.6,9.2,12.3,-0.971546112,20.7,19.0,22.5,-0.981292299,7.7748426184,-0.609146999,16.0,14.6,17.5,-0.568612686,99.463407561,-1.317451805,3412.0,19.4,17.4,21.5,0.2048120104,106.0,341.0,31.085043988,-0.087500373,7040.0,460.2,0.9590079753,8532.0,334786.0,25.484936646,24.9,26.0,-0.729305263,197333.0,14.832484097,13.998441544,15.66652665,-1.198663558,1527.0,99.81208,1002:1,-1.09908982,1349,86.76804,1152:1,1349.0,84.77457,1180:1,-0.887516249,,,,4577.0,287.63026,348:1,-1.465048242,81385.0,47.89731156,46.411099569,49.383523551,-0.145862268,7745.0,79.66429955,77.67647875,81.65212035,0.3441646063,6056.0,60.48546896,58.52667541,62.4442625,0.0625506229,15519.0,80.660126297,0.7792605332,322563.0,459158.0,70.250981144,,,-1.193077934,69963.0,775855.0,9.0175354931,-0.855678012,58641.0,17.3,15.631914894,18.968085106,-0.827943801,2500.0,26.0,23.5,28.7,0.777133672,99234.0,337099.0,29.437642948,28.319834425,30.55545147,-0.430101805,10814.0,719.29159024,2.1437077663,3420.0,46.3,44.8,47.9,-0.825467555,8.46,-0.290053026,0.0,0.0,-0.552159356,135680.0,25.50256097,25.013855052,25.991266887,0.2819702147,454660.0,693960.0,65.516744481,65.013104187,66.020384775,-1.153710327,454660.0,40.1,39.257489793,40.942510207,1.0278302304,California,1554720.0,22.07767315,11.790611814,12.073117066,1.1807712849,27.224531315,0.9688396515,22.627847791,33.804401336,136070.0,9.6030137951,,,50.94631457,0.3886057535,7.8,6.9,8.7,5015.0,395.9,11630.0,267.1,262.2,272.0,4.6,4.2,4.9,592.0,43.638636705,40.1,47.2,16.2,24226.685778,1.6041283834,724.0,7.0472691686,6.533,7.561,1099.0,10.697443116,179441.0,18.088992833,17.016652407,19.161333258,20837.0,5.8572854151,4.9040939258,6.8104769045,8235.000938,8234.32099,8235.680887,3668.0,12.5,10.9,14.2,,,36.79119,2718:1,70209.0,68641.0,71777.0,34.912260314,9.6948620054,9.1,10.3
6003.0,California,Alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,18.4,30.8,,6.5962548634,,18.0,12.9,24.6,,100.0,,,,,,,3.0,7.0,42.857142857,,,,,10.0,247.0,40.48582996,,,,164.0,17.540106952,15.276277165,19.803936739,,0.0,0.0,1102:0,,0,0.0,1129:0,0.0,0.0,1153:0,,,,,6.0,520.3816099999999,192:1,,985.0,23.222390524,12.780330266,33.664450782,,77.0,83.11688312,62.75324675,100.0,,81.0,70.37037037,52.10163519,88.63910555,,,,,169.0,246.0,68.699186992,52.483601041,84.914772943,,61.0,459.0,13.289760349,,66.0,29.1,21.117021277,37.082978723,,,,,,,114.0,270.0,42.222222222,32.88993509,51.554509355,,10.0,880.54006457,,,,,,,10.32,,45.752762431,1325.0,,90.0,21.951219512,10.578358756,33.324080268,,330.0,534.0,61.797752809,50.886024202,72.709481416,,330.0,47.9,20.559278088,75.240721912,,California,1129.0,20.460584588,17.449069973,0.0900900901,20.720720721,0.9009009009,0.0,7.1171171171,71.711711712,24.0,2.110817942,0.0,7.2268277944,48.288288288,100.0,9.6,6.9,12.9,,,,,,,,,,,,,,16.2,152.61175197,12.98823421,,,,,,,141.0,19.529085873,16.788660341,22.269511404,25.0,11.013215859,7.9153435186,14.111088199,6090.675427,6085.390631,6095.960222,,,,,,,,,46336.0,40895.659574,51776.340426,45.454545455,,,
6005.0,California,Amador,538.0,7504.4,6461.896,8546.904,0.7441205162,164.0,17.5,11.8,25.1,-0.128882756,163.0,4.0,2.6,5.3,0.1213418579,162.0,4.2,2.7,5.8,0.3777854246,,104.0,1980.0,5.3,4.3,6.2,-1.295304874,161.0,21.2,13.7,31.4,1.3847474195,23.0,18.0,28.6,-0.340617895,8.0731879226,-0.938197836,17.2,12.6,22.1,-0.14401544,66.742800137,0.418134709,156.0,17.8,9.9,30.0,-0.314214699,11.0,45.0,24.444444444,-1.048728682,59.0,155.5,-1.102436329,153.0,7073.0,21.631556624,18.2,25.1,-1.005031854,3837.0,15.054143126,13.505206956,16.603079296,-1.134739009,24.0,63.236110000000004,1581:1,0.187245986,32,86.40475,1157:1,32.0,78.28938,1277:1,-0.586749978,,,,21.0,51.3774,1946:1,1.0339612486,5810.0,42.429674879,37.039072523,47.820277236,-0.558467602,527.0,81.40417457,73.70092263,89.10742652,-0.175470441,456.0,68.42105263,60.82883715,76.01326811,-1.30403723,410.0,85.0,-0.116614386,4352.0,7890.0,55.15842839,48.730861303,61.585995478,0.3415884159,1960.0,16673.0,11.755532897,-0.126698162,1084.0,18.5,13.853191489,23.146808511,-0.669490091,118.0,13.0,7.6,21.5,-1.873898478,1626.0,6018.0,27.01894317,19.894521879,34.143364462,-0.856251965,105.0,273.69408821,-0.851534107,180.0,93.9,80.2,107.6,1.2290294702,9.4,0.568568031,14.517932805,4608.5,0.671639195,2810.0,19.096160381,16.285424386,21.906896375,-1.420307171,9740.0,12080.0,80.629139073,76.780269144,84.478009001,1.1397693761,9740.0,37.7,32.673100876,42.726899124,0.782399657,California,37035.0,16.079384366,23.026866478,2.3217955219,2.1403218489,1.2089349097,0.2481919351,12.54570201,80.02455232,507.0,1.3921304813,0.78483714,1.9994238226,46.072963091,60.423722139,9.8,7.4,12.8,39.0,114.0,538.0,350.3,318.5,382.1,,,,11.0,41.443749529,20.7,74.2,13.9,1199.9015411,3.1500919932,62.0,23.210020739,17.795,29.754,64.0,23.958731086,3399.0,17.462111482,15.436579567,19.487643397,507.0,7.8922789539,5.9858959752,9.7986619326,7313.790836,7311.487536,7316.094135,164.0,14.6,8.2,24.4,,,51.30282,1949:1,51388.0,46042.978723,56733.021277,32.234091965,,,
6007.0,California,Butte,2809.0,7944.16,7520.918,8367.402,1.0454089949,931.0,17.3,14.1,21.0,-0.167321473,924.0,4.5,3.7,5.3,0.8055033973,926.0,4.5,3.6,5.4,0.6884516114,,1025.0,17406.0,5.9,5.5,6.2,-0.505427492,917.0,19.2,15.6,23.3,0.9401637343,24.3,21.1,27.9,0.0215024209,6.755061896,0.5155889883,16.8,14.2,19.3,-0.285547856,78.691363636,-0.21564832,875.0,20.4,16.5,25.0,0.5292037039,50.0,143.0,34.965034965,0.474129212,878.0,398.6,0.5422538922,1697.0,62868.0,26.993064834,25.7,28.3,-0.62139194,36467.0,19.839939937,18.17185483,21.508025043,0.2454434292,148.0,67.19149,1488:1,0.048139746,152,68.61094,1457:1,152.0,67.00699,1492:1,-0.06350283,,,,551.0,242.90034,412:1,-0.991909021,30728.0,62.904275055,60.117962132,65.690587978,0.9866111482,3234.0,77.0253556,74.00051203,80.05019916,1.1323176336,2545.0,61.61100196,58.56141295,64.66059097,-0.131277555,2461.0,85.201950427,-0.15830277,32734.0,49382.0,66.287311166,63.549176471,69.025445861,-0.790037372,12493.0,102063.0,12.24047892,0.0024165979,12092.0,27.1,22.453191489,31.746808511,0.4660948314,641.0,19.3,15.3,24.1,-0.589167513,16500.0,45308.0,36.417409729,33.16876391,39.666055547,0.7996617061,756.66666667,341.8370958,-0.393486679,1007.0,92.1,86.4,97.8,1.1513384062,8.93,0.1392575025,0.1650925387,313.5,-0.538242774,19270.0,22.547241561,21.3864503,23.708032822,-0.503302783,62722.0,84310.0,74.394496501,73.138685207,75.650307795,0.1935906545,62722.0,21.7,20.101449276,23.298550724,-0.853804166,California,221539.0,20.450123906,16.187217601,1.4619325304,2.3911384817,4.3717187131,0.2570530637,14.538939452,74.763384017,6240.0,3.0034510808,2.704334742,3.3025674196,50.449615783,18.901818182,8.1,6.6,9.7,207.0,110.0,2809.0,403.8,388.4,419.1,6.8,5.5,8.0,96.0,51.517346857,41.7,62.9,18.4,15882.011847,7.2190962939,274.0,18.015399879,15.883,20.147,418.0,27.483347261,32375.0,23.278304261,21.13362341,25.422985112,4657.0,9.714834053,7.570153202,11.859514904,8537.230112,8536.166894,8538.29333,931.0,16.7,13.4,20.7,,,74.93037,1335:1,40748.0,38659.319149,42836.680851,47.329614669,4.1422269796,3.2,5.3
6009.0,California,Calaveras,621.0,6937.97,5958.205,7917.735,0.3560478561,195.0,21.4,13.0,33.0,0.6206722215,195.0,4.3,2.5,6.0,0.5318387815,193.0,4.3,2.5,6.0,0.4813408202,,141.0,2545.0,5.5,4.7,6.4,-1.032012413,191.0,19.1,12.3,28.4,0.91793455,25.8,20.8,31.2,0.4393335541,8.0375168239,-0.898855487,17.7,13.3,22.9,0.032900079,50.168941156,1.2972554955,187.0,23.9,16.0,34.3,1.6645746312,18.0,52.0,34.615384615,0.4235172436,69.0,153.2,-1.117996952,226.0,9733.0,23.219973287,20.2,26.2,-0.891373531,5388.0,15.470755448,13.802670342,17.138840555,-1.014591616,19.0,42.17349,2371:1,0.9279947004,21,46.935770000000005,2131:1,21.0,46.43347,2154:1,0.8906427185,,,,23.0,50.8557,1966:1,1.0394796426,6768.0,41.858390653,36.720693415,46.996087892,-0.601578536,642.0,79.43925234,72.54469907,86.3338056,0.41137772,637.0,66.40502355,60.07672699,72.7333201,-0.956856611,472.0,92.583686441,-1.682105675,5069.0,8013.0,63.259702983,56.210936937,70.308469028,-0.482179022,2531.0,19430.0,13.02624807,0.2116242019,1686.0,20.9,15.538297872,26.261702128,-0.352582671,130.0,17.1,10.5,26.7,-1.037803723,2727.0,8661.0,31.485971597,21.671542132,41.300401061,-0.069207249,99.0,213.50010783,-1.256149326,205.0,89.1,76.9,101.3,1.0218532996,9.54,0.6964477629,0.2661173479,135.0,-0.529726822,3310.0,17.611066773,15.094749304,20.127384242,-1.81491897,13555.0,17205.0,78.78523685,75.555597911,82.014875789,0.859936005,13555.0,52.7,46.659724733,58.740275267,2.3163407409,California,44742.0,18.575387779,23.300254794,0.799716444,1.7788706497,1.3734742252,0.1949447287,10.608980749,83.338871536,559.0,1.2800842703,0.6621710239,1.8979975167,49.93464921,75.409188644,9.1,6.7,11.8,17.0,42.8,621.0,323.2,294.9,351.5,,,,16.0,42.913850445,24.5,69.7,14.6,978.59527988,2.1470781515,86.0,26.884997859,21.505,33.203,51.0,15.943428963,4763.0,18.035518195,16.00998628,20.061050109,713.0,7.9861111111,6.0797281324,9.8924940898,7466.392463,7464.200297,7468.584628,195.0,22.9,15.0,33.3,,,26.82044,3729:1,50962.0,45963.702128,55960.297872,35.762130371,3.4387787959,1.7,6.2
6011.0,California,Colusa,184.0,5945.11,4805.154,7085.066,-0.32418063,,,,,0.0,70.0,2.9,1.4,4.5,-1.383813529,69.0,2.6,1.2,3.9,-1.279100905,,139.0,2524.0,5.5,4.6,6.4,-1.032012413,,,,,0.0,22.6,17.2,29.1,-0.45203953,6.9457263984,0.3053014013,15.8,11.1,21.2,-0.639378894,64.143984313,0.5559826908,,,,,0.0,10.0,46.0,21.739130435,-1.440323506,23.0,106.7,-1.432592161,264.0,5515.0,47.869446963,42.1,53.6,0.8724066609,4593.0,24.335064109,22.071234322,26.598893897,1.5417983911,8.0,37.12469,2694:1,1.1055551911,7,32.69348,3059:1,7.0,32.322109999999995,3094:1,1.5450899581,,,,15.0,69.26167,1444:1,0.8447870204,2146.0,71.000574757,59.561600621,82.439548893,1.5975837934,299.0,84.28093645,73.87490454,94.68696837,-1.034650714,172.0,57.55813953,46.2199106,68.89636847,0.566666389,364.0,84.375,0.0124036136,2433.0,5398.0,45.072248981,38.28738945,51.857108512,1.3671882854,2369.0,11860.0,19.97470489,2.0616204797,1254.0,20.2,15.434042553,24.965957447,-0.445014002,,,,,0.0,2204.0,6239.0,35.326174066,27.892569981,42.759778152,0.6073971446,51.0,237.19826985,-1.096853713,58.0,54.8,41.6,70.9,-0.458593086,7.55,-1.121271283,5.5995073192,591.0,-0.080145259,1450.0,20.803443329,16.455101739,25.151784918,-0.966656308,6360.0,8469.0,75.097414098,72.770662218,77.424165979,0.300266485,6360.0,26.0,21.133819745,30.866180255,-0.414074389,California,21411.0,29.368081827,12.161972818,0.8081468678,2.6346522166,1.6209651049,0.5372074555,55.99570234,39.043303592,3235.0,16.593147312,14.126153099,19.060141525,48.507497548,31.724170129,7.8,5.7,10.3,,,184.0,299.8,256.1,343.4,,,,10.0,39.394894422,18.9,72.4,19.8,574.52563475,2.6823177307,27.0,18.428147289,12.144,26.812,,,3896.0,30.942736876,27.844864535,34.040609216,770.0,11.6156283,8.7560538318,14.475202768,7230.994061,7227.226439,7234.761684,71.0,22.6,12.2,38.0,,,32.69348,3059:1,49871.0,45097.893617,54644.106383,58.522125768,,,
6013.0,California,Contra Costa,8395.0,5257.38,5100.09,5414.67,-0.795358376,2871.0,13.8,12.0,15.8,-0.839999017,2854.0,3.3,2.9,3.7,-0.836484297,2857.0,3.4,3.0,3.8,-0.45065774,,6104.0,90414.0,6.8,6.6,6.9,0.6793885818,2814.0,11.6,9.8,13.7,-0.749254269,23.7,21.6,25.8,-0.145630032,8.1393444739,-1.011163182,16.4,14.8,18.1,-0.427080271,92.650222826,-0.956062684,2678.0,18.4,16.3,20.7,-0.119579683,91.0,281.0,32.384341637,0.1005732601,4404.0,413.1,0.6403534734,5626.0,246890.0,22.787476204,22.2,23.4,-0.922320634,126153.0,13.740824691,12.787633202,14.694016181,-1.513488695,951.0,89.20397,1121:1,-0.726014763,834,77.25104999999999,1294:1,834.0,76.49987,1307:1,-0.503757155,,,,1932.0,177.21551,564:1,-0.297115264,63844.0,47.08938464,45.396678257,48.782091024,-0.206831015,5434.0,81.00846522,78.61536186,83.40156858,-0.057286983,4944.0,63.55177994,61.32959244,65.77396743,-0.465499173,12892.0,83.385626745,0.216638747,190267.0,279132.0,68.163807804,,,-0.980846461,48167.0,535782.0,8.9900369927,-0.862999367,37201.0,14.5,12.593617021,16.406382979,-1.197669124,1994.0,21.1,18.6,23.8,-0.222101523,67995.0,257809.0,26.374176231,24.954612499,27.793739963,-0.969853305,4170.0,397.72935011,-0.017787041,2475.0,48.3,46.4,50.2,-0.73914415,8.29,-0.445335558,0.0140424292,60.0,-0.55097564,86385.0,23.468764008,22.821653849,24.115874168,-0.258440352,331107.0,473623.0,69.909400515,69.300737895,70.518063135,-0.487074249,331107.0,45.2,44.300445259,46.099554741,1.549370199,California,1079597.0,24.068147651,13.315894727,8.9698607428,0.9754190279,15.327571269,0.5630482806,24.602912661,47.327560018,66690.0,6.769183922,,,51.193606097,0.7927361121,7.6,6.7,8.6,1840.0,211.7,8395.0,263.0,257.3,268.7,4.1,3.7,4.5,414.0,39.993276493,36.1,43.8,13.8,28361.314139,2.7035880116,575.0,8.0852884029,7.424,8.746,678.0,9.5336096299,110226.0,16.665709093,15.474219732,17.857198455,17986.0,6.6528820155,5.3422437176,7.9635203133,8480.066507,8479.279753,8480.853261,2870.0,9.2,7.8,10.8,,,32.60476,3067:1,74208.0,72187.234043,76228.765957,30.492778199,9.0133388979,8.3,9.7
6015.0,California,Del Norte,424.0,9670.61,8346.61,10994.61,2.228234841,118.0,15.9,10.0,24.2,-0.436392491,119.0,6.3,4.3,8.4,3.2684849389,117.0,4.0,2.0,6.0,0.1706746335,,134.0,2403.0,5.6,4.7,6.5,-0.900366183,118.0,20.3,11.5,33.2,1.1846847611,25.5,20.0,31.7,0.3557673275,6.4047971679,0.9019027673,18.0,13.5,23.7,0.1390493906,85.239426774,-0.562974698,,,,,0.0,9.0,38.0,23.684210526,-1.158772716,58.0,202.4,-0.785134924,332.0,6172.0,53.791315619,48.0,59.6,1.2961428742,3670.0,17.272213855,15.484979813,19.059447898,-0.495066581,20.0,69.78611,1433:1,-0.043110093,19,67.16154,1489:1,19.0,59.546200000000006,1679:1,0.2825091394,,,,71.0,222.51473,449:1,-0.77627631,3380.0,55.326531598,47.105716267,63.54734693,0.4147704142,441.0,78.45804989,70.19090534,86.72519444,0.7044258848,317.0,56.78233438,48.48701596,65.07765281,0.7002678905,310.0,85.0,-0.116614386,3458.0,7537.0,45.880323736,39.894491553,51.86615592,1.2850202681,1521.0,11381.0,13.364379229,0.3016501459,1884.0,32.4,24.178723404,40.621276596,1.1659320508,,,,,0.0,2484.0,5975.0,41.573221757,31.864237201,51.282206314,1.7080630471,126.33333333,436.93293829,0.2457338013,136.0,95.6,79.5,111.6,1.3024043639,7.96,-0.746766354,0.0,0.0,-0.552159356,2335.0,23.573952549,19.416651516,27.731253583,-0.230490168,6954.0,9070.0,76.670341786,72.738162656,80.602520916,0.5389763535,6954.0,9.6,6.7107918444,12.489208156,-2.091183307,California,28290.0,21.102863203,14.379639449,3.5808227826,8.7223371795,3.4685932732,0.147301231,18.209237891,64.577561112,549.0,2.0491956254,1.3819934256,2.7163978252,44.565636727,33.67354072,8.8,6.6,11.5,34.0,139.6,424.0,455.4,411.4,499.4,,,,22.0,89.63494133,56.2,135.7,18.6,2923.1759494,10.217322438,48.0,24.173809692,17.824,32.051,32.0,16.115873128,3206.0,21.043649491,18.660670768,23.426628215,523.0,8.2142296215,6.1886977066,10.239761536,7923.41486,7920.270287,7926.559434,119.0,20.0,12.2,31.2,,,81.30081,1230:1,37305.0,33968.829787,40641.170213,53.83536015,8.5615575991,5.0,13.7
6017.0,California,El Dorado,1670.0,5169.84,4773.371,5566.309,-0.855333802,738.0,9.7,7.4,12.5,-1.627992712,738.0,2.7,2.2,3.3,-1.657478144,737.0,3.1,2.4,3.7,-0.761323927,,801.0,12644.0,6.3,5.9,6.8,0.0211574299,723.0,14.3,10.6,19.1,-0.149066294,20.3,17.0,23.7,-1.092713934,8.0667016342,-0.931043982,15.2,12.6,18.0,-0.851677517,76.752753261,-0.11281936,698.0,20.9,16.1,26.6,0.6913995507,40.0,105.0,38.095238095,0.927226834,237.0,131.0,-1.268190793,757.0,43052.0,17.583387531,16.3,18.8,-1.294696476,20121.0,13.312029851,12.12054049,14.503519213,-1.637149421,125.0,69.08444,1448:1,-0.018433223,137,75.87464,1318:1,137.0,75.18673,1330:1,-0.442857518,,,,220.0,120.73781999999999,828:1,0.3002883001,17649.0,42.098978133,38.980242188,45.217714077,-0.583423036,1446.0,80.22130014,75.60475833,84.83784195,0.1778095379,1556.0,67.48071979,63.39901935,71.56242023,-1.142102394,2094.0,91.987344795,-1.559003585,27226.0,39345.0,69.198119202,66.045842517,72.350395887,-1.086019054,9371.0,90525.0,10.351836509,-0.500426194,4724.0,12.2,9.3404255319,15.059574468,-1.501372069,506.0,15.3,11.1,20.7,-1.404869713,9460.0,40474.0,23.373029599,20.643707821,26.102351378,-1.498624643,465.0,257.4042945,-0.961031741,608.0,67.9,62.5,73.3,0.1068252129,9.5,0.6599106967,0.1006324118,160.0,-0.543676482,14240.0,20.820235397,19.363532091,22.276938704,-0.962194402,61055.0,79772.0,76.536880108,75.699691363,77.374068854,0.5187220088,61055.0,40.2,38.098785623,42.301214377,1.0380565043,California,180561.0,21.628701658,16.372306312,0.7534799385,1.3659933442,3.690559112,0.1995643858,12.176191582,79.842338607,3537.0,2.0667772999,1.7162733471,2.4172812528,49.963514544,34.699930409,8.1,6.4,10.0,137.0,89.7,1670.0,259.9,246.9,272.9,4.1,3.0,5.2,52.0,31.007936839,23.2,40.7,13.1,8605.3569029,4.752817828,149.0,11.998846822,10.072,13.926,229.0,18.441180687,17797.0,15.934567724,14.385631554,17.483503895,2668.0,6.4131532138,4.9833659797,7.8429404478,7980.19041,7978.775,7981.605821,739.0,13.2,9.4,18.1,,,26.029980000000002,3842:1,68446.0,64652.297872,72239.702128,22.166780811,2.5769335457,1.8,3.6
